VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
171,2,50,255,How does the temperature at the North Pole compare to the South Pole?  ,Nhiệt độ ở Bắc Cực so với Nam Cực như thế nào?,How does the temperature at the North Pole compare to the South Pole?  ,อุณหภูมิที่ขั้วโลกเหนือเปรียบเทียบกับขั้วโลกใต้เป็นอย่างไร?  ,Bagaimana suhu Kutub Utara dibandingkan Kutub Selatan?  ,Paano ang temperatura sa North Pole kumpara sa South Pole?  ,Bagaimana suhu di Kutub Utara dibandingkan dengan Kutub Selatan?,Cao,Cao,Tall  ,สูง  ,Tinggi  ,Matangkad  ,Tinggi  ,Negligible difference,Khác nhau không đáng kể,Negligible difference,ความแตกต่างเล็กน้อย,Perbedaan tidak signifikan,Hindi gaanong magkaiba,Tidak begitu berbeza  ,Low  ,Thấp,Low  ,ต่ำ  ,Rendah  ,Mababa  ,Rendah  ,No way to verify  ,Không cách nào khảo chứng,No way to verify  ,ไม่มีวิธีตรวจสอบ  ,Tiada cara mengesahkan  ,No way to verify  ,Tiada cara untuk mengesahkan  ,,
172,2,50,255,"From which language does the word ""Montage"" originate?  ","Từ ""Montage"" (Montage) xuất phát từ ngôn ngữ nào?","From which language does the word ""Montage"" originate?  ","คำว่า ""Montage"" มาจากภาษาใด?  ","Dari bahasa apa kata ""Montage"" berasal?  ","Mula sa anong wika nagmula ang salitang ""Montage""?  ","Perkataan ""Montage"" berasal dari bahasa apa?",Pháp,Pháp,France  ,France  ,Prancis  ,Pransya  ,Perancis  ,Germany,Đức,Germany,เยอรมนี,Jerman,Germany,Jerman  ,Italy  ,Ý,Italy  ,อิตาลี  ,Itali  ,Italya  ,Itali  ,United States  ,Nước Mỹ,United States  ,สหรัฐอเมริกา  ,Amerika Syarikat  ,United States  ,Amerika Syarikat  ,,
173,2,50,255,Is Champagne considered wine?  ,Rượu Champagne có phải là rượu vang không?,Is Champagne considered wine?  ,แชมเปญถือเป็นไวน์หรือไม่?  ,Apakah Champagne dianggap sebagai anggur?  ,Ang Champagne ba ay itinuturing na alak?  ,Adakah Champagne sejenis wain?,Là,Là,Is  ,คือ  ,Adalah  ,Ay  ,Ya  ,No,Không phải,No,ไม่ใช่,Bukan,Hindi,Tidak  ,"Some have, some don't  ","Có cái có, có cái không","Some have, some don't  ",บางอย่างมี บางอย่างไม่มี  ,"Ada yang ada, ada yang tidak  ","Mayroon ang ilan, ang ilan wala  ","Ada yang ada, ada yang tiada  ",No way to verify  ,Không cách nào khảo chứng,No way to verify  ,ไม่มีวิธีตรวจสอบ  ,Tiada cara mengesahkan  ,No way to verify  ,Tiada cara untuk mengesahkan  ,,
175,2,50,260,"Which bridge appears in the famous movie ""The Blue Lagoon""?  ","Cây cầu trong bộ phim nổi tiếng ""Mối tình xanh"" là cầu nào?","Which bridge appears in the famous movie ""The Blue Lagoon""?  ","สะพานใดปรากฏในภาพยนตร์ชื่อดัง ""The Blue Lagoon""?  ","Jembatan mana yang muncul dalam film terkenal ""The Blue Lagoon""?  ","Anong tulay ang lumilitaw sa sikat na pelikulang ""The Blue Lagoon""?  ","Apakah jambatan dalam filem terkenal ""Love Story"" (Mối tình xanh)?",Cầu Waterloo,Cầu Waterloo,Waterloo Bridge  ,Waterloo Bridge  ,Jembatan Waterloo  ,Tulay ng Waterloo  ,Jambatan Waterloo  ,Fehmarn Bridge,Cầu Fehmarn,Fehmarn Bridge,สะพานเฟห์มาร์น,Jembatan Fehmarn,Fehmarn Bridge,Jambatan Fehmarn  ,London Bridge  ,Cầu London,London Bridge  ,สะพานลอนดอน  ,Jambatan London  ,Tulay ng London  ,Jambatan London  ,Yugoslavia Large Bridge  ,Nam Tư Lạp Phu cầu lớn,Yugoslavia Large Bridge  ,สะพานใหญ่ยูโกสลาเวีย  ,Jambatan Besar Yugoslavia  ,Yugoslavia Large Bridge  ,Jambatan Besar Yugoslavia  ,,
176,2,50,260,"Which country is called the ""Golden Coast""?  ","Quốc gia nào được gọi là ""Bờ biển vàng""?","Which country is called the ""Golden Coast""?  ","ประเทศใดถูกเรียกว่า ""ชายฝั่งทองคำ""?  ","Negara mana yang disebut ""Pantai Emas""?  ","Aling bansa ang tinatawag na ""Golden Coast""?  ","Negara manakah digelar ""Pantai Emas""?",Ghana,Ghana,Ghana  ,กานา  ,Ghana  ,Ghana  ,Ghana  ,Australia,Australia,Australia,ออสเตรเลีย,Australia,Australia,Australia  ,Mexico  ,Mexico,Mexico  ,เม็กซิโก  ,Mexico  ,Mexico  ,Mexico  ,United States  ,Nước Mỹ,United States  ,สหรัฐอเมริกา  ,Amerika Syarikat  ,United States  ,Amerika Syarikat  ,,
177,2,50,260,After whom is Halley’s Comet named?  ,Sao chổi Halley được đặt tên theo ai?,After whom is Halley’s Comet named?  ,ดาวหางฮัลเลย์ถูกตั้งชื่อตามใคร?  ,Komet Halley dinamai menurut siapa?  ,Sino ang pinangalanan sa Halley’s Comet?  ,Komet Halley dinamakan sempena siapa?,Tên người,Tên người,Person's name  ,ชื่อตัวบุคคล  ,Nama orang  ,Pangalan ng tao  ,Nama orang  ,Geographical name,Tên địa lý,Geographical name,ชื่อภูมิศาสตร์,Nama geografis,Pangalan ng heograpiya,Nama geografi  ,Event name  ,Tên sự kiện,Event name  ,ชื่องาน  ,Nama acara  ,Pangalan ng event  ,Nama acara  ,No way to verify  ,Không cách nào khảo chứng,No way to verify  ,ไม่มีวิธีตรวจสอบ  ,Tiada cara mengesahkan  ,No way to verify  ,Tiada cara untuk mengesahkan  ,,
178,2,50,260,Which country was the first to grow cotton in the world?  ,Quốc gia nào là nơi trồng bông đầu tiên trên thế giới?,Which country was the first to grow cotton in the world?  ,ประเทศใดเป็นประเทศแรกที่ปลูกฝ้ายในโลก?  ,Negara mana yang pertama kali menanam kapas di dunia?  ,Aling bansa ang unang nagtanim ng bulak sa mundo?  ,Negara manakah merupakan tempat pertama menanam kapas?,Ấn Độ,Ấn Độ,India  ,อินเดีย  ,India  ,India  ,India  ,China,Trung Quốc,China,จีน,Tiongkok,Tsina,China  ,Myanmar  ,Myanmar,Myanmar  ,เมียนมา  ,Myanmar  ,Myanmar  ,Myanmar  ,South Korea  ,Hàn Quốc,South Korea  ,เกาหลีใต้  ,Korea Selatan  ,South Korea  ,Korea Selatan  ,,
179,2,50,260,What causes the seasonal changes on Earth?  ,Sự thay đổi mùa trong năm trên Trái Đất xảy ra do đâu?,What causes the seasonal changes on Earth?  ,การเปลี่ยนแปลงของฤดูกาลในโลกเกิดจากอะไร?  ,Apa penyebab perubahan musim di Bumi?  ,Ano ang sanhi ng pagbabago ng mga panahon sa Earth?  ,Apakah yang menyebabkan perubahan musim di Bumi?,Quỹ đạo trái đất,Quỹ đạo trái đất,Earth orbit  ,วงโคจรของโลก  ,Orbit bumi  ,Orbit ng mundo  ,Orbit bumi  ,Earth's orbit,Quỹ đạo trái đất,Earth's orbit,วงโคจรของโลก,Orbit bumi,Orbit ng mundo,Orbit dunia  ,Sun rotation  ,Quay của mặt trời,Sun rotation  ,การหมุนของดวงอาทิตย์  ,Putaran matahari  ,Pag-ikot ng araw  ,Putaran matahari  ,Sun revolves  ,Mặt trời quay quanh,Sun revolves  ,ดวงอาทิตย์โคจร  ,Matahari mengelilingi  ,Sun revolves  ,Matahari mengelilingi  ,,
180,3,50,313,"Many people like to sunbathe at the Dead Sea, which is over 410 meters below sea level. Why?  ","Nhiều người thích tắm nắng ở Biển Chết, nơi có độ cao thấp hơn 410 mét so với mực nước biển, tại sao?","Many people like to sunbathe at the Dead Sea, which is over 410 meters below sea level. Why?  ",หลายคนชอบอาบแดดที่ทะเลเดดซีซึ่งอยู่ต่ำกว่าระดับน้ำทะเลกว่า 410 เมตร เพราะอะไร?  ,Banyak orang suka berjemur di Laut Mati yang berada lebih dari 410 meter di bawah permukaan laut. Kenapa?  ,"Maraming tao ang mahilig mag-sunbathe sa Dead Sea na higit sa 410 metro ang baba sa sea level, bakit?  ","Mengapa ramai orang suka berjemur di Laut Mati, yang terletak lebih 410 meter di bawah paras laut?",Tia cực tím yếu nhất,Tia cực tím yếu nhất,Weakest ultraviolet ray  ,รังสีอัลตราไวโอเลตที่อ่อนที่สุด  ,Sinar ultraviolet terlemah  ,Pinakahinang ultraviolet ray  ,Sinar ultraviolet paling lemah  ,Can be cured,Có thể chữa bệnh,Can be cured,สามารถรักษาได้,Dapat disembuhkan,Maaaring pagalingin,Boleh menyembuhkan  ,Beautiful environment  ,Môi trường đẹp,Beautiful environment  ,สิ่งแวดล้อมสวยงาม  ,Persekitaran indah  ,Magandang kapaligiran  ,Persekitaran indah  ,Best air  ,Không khí tốt nhất,Best air  ,อากาศดีที่สุด  ,Udara terbaik  ,Best air  ,Udara terbaik  ,,
181,3,50,313,"Like hands, faces also show left or right bias; which side is dominant?  ","Giống như tay, mặt người cũng có sự lệch về bên trái hay phải, vậy bên nào chiếm ưu thế?","Like hands, faces also show left or right bias; which side is dominant?  ",เหมือนมือ ใบหน้าก็มีความเอนเอียงด้านซ้ายหรือขวา ด้านใดมีอิทธิพลมากกว่า?  ,"Seperti tangan, wajah juga menunjukkan kecenderungan kiri atau kanan; sisi mana yang dominan?  ","Tulad ng kamay, ang mukha ay may bias sa kaliwa o kanan; aling panig ang nangingibabaw?  ","Sama seperti tangan, wajah manusia juga condong ke kiri atau kanan – sebelah mana lebih dominan?",Phía phải,Phía phải,Right side  ,ด้านขวา  ,Sisi kanan  ,Kanang bahagi  ,Bahagian kanan  ,Left-leaning,Lệch trái,Left-leaning,เอนซ้าย,Condong ke kiri,Kumakampi sa kaliwa,Menyokong kiri  ,Uncountable  ,Không thể thống kê,Uncountable  ,นับไม่ได้  ,Tidak dapat dikira  ,Hindi mabilang  ,Tidak boleh dikira  ,Neither deviated left nor right  ,Đã không lệch trái cũng không lệch phải,Neither deviated left nor right  ,ไม่เบี่ยงซ้ายหรือขวา  ,Tidak condong ke kiri atau kanan  ,Neither deviated left nor right  ,Tidak condong ke kiri atau kanan  ,,
182,3,50,315,What is the national bird of India?  ,Chim quốc gia của Ấn Độ là gì?,What is the national bird of India?  ,นกประจำชาติของอินเดียคืออะไร?  ,Apa burung nasional India?  ,Ano ang pambansang ibon ng India?  ,Apakah burung kebangsaan India?,Công (Peacock),Công (Peacock),Peacock  ,นกยูง  ,Merak  ,Peacock  ,Merak  ,Bald eagle,Đại bàng đầu trắng,Bald eagle,นกอินทรีหัวขาว,Elang botak,Bald eagle,Helang botak  ,Green pheasant  ,Green pheasant,Green pheasant  ,ไก่ฟ้าสีเขียว  ,Fesyen hijau  ,Berde na pheasant  ,Pegar hijau  ,White Crane  ,Bạch hạc,White Crane  ,นกกระเรียนขาว  ,Bangau Putih  ,White Crane  ,Bangau Putih  ,,
183,3,50,315,How many pieces are there in a standard international chess set?  ,Có bao nhiêu quân cờ trong một bộ cờ vua quốc tế?,How many pieces are there in a standard international chess set?  ,ในชุดหมากรุกนานาชาติ มีจำนวนหมากกี่ตัว?  ,Berapa banyak bidak dalam satu set catur internasional standar?  ,Ilang piraso ang nasa isang standard na set ng chess?  ,Berapa banyak buah catur dalam satu set catur antarabangsa?,32 quả,32 quả,32 fruits  ,32 ผล  ,32 buah  ,32 prutas  ,32 buah  ,36 pieces,36 viên,36 pieces,36 ชิ้น,36 buah,36 piraso,36 keping  ,30 pieces  ,30 viên,30 pieces  ,30 ชิ้น  ,30 biji  ,30 piraso  ,30 biji  ,28 Cloak  ,28 Khỏa,28 Cloak  ,28 ผ้าคลุม  ,28 Jubah  ,28 Cloak  ,28 Jubah  ,,
184,3,50,315,"Where does the phrase ""Winter is coming, is spring far behind?"" originate?  ","Câu ""Mùa đông đã đến, mùa xuân còn xa không?"" xuất phát từ đâu?","Where does the phrase ""Winter is coming, is spring far behind?"" originate?  ","ประโยค ""ฤดูหนาวมาแล้ว ฤดูใบไม้ผลิยังไกลไหม?"" มาจากไหน?  ","Dari mana kalimat ""Winter is coming, is spring far behind?"" berasal?  ","Saan nagmula ang pariralang ""Winter is coming, is spring far behind?""?  ","Ayat ""Musim sejuk telah datang, adakah musim bunga masih jauh?"" berasal dari mana?",Shelley,Shelley,Shelley  ,Shelley  ,Shelley  ,Shelley  ,Shelley  ,Byron,Byron,Byron,ไบรอน,Byron,Byron,Byron  ,Tagore,Tagore,Tagore,ฐากูร,Tagore,Tagore,Tagore,Hermann · Black Insert  ,Hermann · Đen nhét,Hermann · Black Insert  ,เฮอร์มานน์ · ดำแทรก  ,Hermann · Sisipan Hitam  ,Hermann · Black Insert  ,Hermann · Sisipan Hitam  ,,
185,3,50,319,"Internationally, ""K"" denotes gold purity. What is the gold content of 18K?  ","Quốc tế sử dụng ""K"" để biểu thị hàm lượng vàng, vậy 18K có nghĩa là hàm lượng vàng bao nhiêu?","Internationally, ""K"" denotes gold purity. What is the gold content of 18K?  ","ในระดับสากล ""K"" แสดงถึงความบริสุทธิ์ของทองคำ ดังนั้น 18K มีความบริสุทธิ์ทองคำเท่าไร?  ","Secara internasional, ""K"" menunjukkan kemurnian emas. Berapa kandungan emas dalam 18K?  ","Internasyonal, ang ""K"" ay nagpapahiwatig ng purity ng ginto, gaano karaming ginto ang nasa 18K?  ","Huruf ""K"" antarabangsa digunakan untuk mewakili kandungan emas, jadi apakah maksud 18K?",0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,
186,3,50,319,"What is the relationship between Strauss and Johann Strauss, the ""Father of the Waltz""?  ","Strauss và ""Cha đẻ của điệu vũ waltz"" Johann Strauss có mối quan hệ gì?","What is the relationship between Strauss and Johann Strauss, the ""Father of the Waltz""?  ","Strauss กับ Johann Strauss ผู้เป็น ""บิดาแห่งวอลซ์"" มีความสัมพันธ์กันอย่างไร?  ","Apa hubungan antara Strauss dan Johann Strauss, ""Bapak Waltz""?  ","Ano ang relasyon ni Strauss kay Johann Strauss, ang ""Ama ng Waltz""?  ","Apakah hubungan antara Strauss dan ""Bapa Waltz"" Johann Strauss?",Cha con,Cha con,Father and son  ,พ่อและลูก  ,Ayah dan anak  ,Ama at anak  ,Bapa dan anak  ,Brothers  ,Anh em,Brothers  ,พี่น้อง  ,พี่น้อง  ,Magkapatid  ,Adik-beradik  ,Friend  ,Bạn bè,Friend  ,เพื่อน  ,Teman  ,Kaibigan  ,Kawan  ,Unaware of each other  ,Lẫn nhau không biết,Unaware of each other  ,ไม่รู้จักกัน  ,Tidak saling mengenal  ,Unaware of each other  ,Tidak saling mengenal  ,,
187,3,50,319,"Currently, which element is observed to dominate outer space?  ","Hiện tại, theo quan sát, nguyên tố nào chiếm phần lớn trong không gian vũ trụ?","Currently, which element is observed to dominate outer space?  ",ปัจจุบัน จากการสังเกต ธาตุใดมีปริมาณมากที่สุดในอวกาศ?  ,"Saat ini, elemen apa yang mendominasi luar angkasa menurut pengamatan?  ","Sa kasalukuyan, aling elemento ang nangingibabaw sa kalawakan ayon sa obserbasyon?  ","Pada masa ini, unsur apa yang paling banyak diperhatikan dalam angkasa lepas?",Hydrogen,Hydrogen,Hydrogen  ,ไฮโดรเจน  ,Hidrogen  ,Hydrogen  ,Hidrogen  ,Oxygen  ,Oxy,Oxygen  ,ออกซิเจน  ,ออกซิเจน  ,Oxygen  ,Oksigen  ,Sodium  ,Natri,Sodium  ,โซเดียม  ,Natrium  ,Sodium  ,Natrium  ,Six Elements  ,Lục nguyên tố,Six Elements  ,หกธาตุ  ,Enam Elemen  ,Six Elements  ,Enam Elemen  ,,
188,3,50,322,Why does a snake move to the rhythm of the handler’s music during performance?  ,"Khi biểu diễn, tại sao con rắn sẽ di chuyển theo điệu nhạc của người điều khiển?",Why does a snake move to the rhythm of the handler’s music during performance?  ,ทำไมงูถึงเคลื่อนไหวตามจังหวะเพลงของผู้เล่นในระหว่างการแสดง?  ,Mengapa ular bergerak mengikuti irama musik saat pertunjukan?  ,Bakit gumagalaw ang ahas ayon sa ritmo ng musika ng tagakontrol sa pagtatanghal?  ,Mengapa ular bergerak mengikut muzik semasa pertunjukan?,Điệu múa của con rắn,Điệu múa của con rắn,Dance of the snake  ,ระบำของงู  ,Tarian ular  ,Sayaw ng ahas  ,Tarian ular  ,Sound made by snake charmer  ,Âm thanh do người nhảy rắn phát ra,Sound made by snake charmer  ,เสียงที่นักเชิดงูเป่าออกมา  ,เสียงที่นักเชิดงูเป่าออกมา  ,Tunog na ginagawa ng tagapagpaamo ng ahas  ,Bunyi yang dihasilkan oleh penjinak ular  ,Gaze of the dancer  ,Ánh mắt của dancer,Gaze of the dancer  ,สายตาของนักเต้น  ,Tatapan penari  ,Tingin ng mananayaw  ,Pandangan penari  ,Snake Dance Costume  ,Múa rắn người trang phục,Snake Dance Costume  ,เต้นรำงูชุด  ,Tarian Ular Kostum  ,Snake Dance Costume  ,Tarian Ular Kostum  ,,
